№,№,ID ,Scientific name,Russian name,Uzbek name,English name,IUCN  status (2025-1),Uzbekistan Red Data Book (2019),CITES,Endemism,Andijan region,Fergana region,Namangan region,Tashkent region,Syrdarya region,Jizzak region,Samarkand region,Kashkadarya region,Surkhandarya region,Bukhara region,Navoi region,Khorezm region,Karakalpakstan
1,1,0033010171,"Testudo horsfieldii (Gray, 1844)",Среднеазиатская черепаха,Ўрта Осиё чўл тошбақаси,Central Asian tortoise,VU,2(VU),II,"UZ, TJ, TM, KZ, KG, 
IR, AF, CN, PK",Х,Х,Х,,Х,Х,Х,Х,Х,Х,Х,Х,Х
2,2,0033040241,"Alsophylax laevis Nikolsky, 1907 ",Гладкий геккончик ,Силлиқ гекконча,Southern Even-fingered Gecko,CR,2(VU:D),,"UZ, TM",,Х,Х,,,,,,Х,Х,Х,,
,3,,"Alsophylax ferganensis Nazarov, Abduraupov et al, 2023",Ферганский геккончик,Фаргона геккончаси,Fergana Even-fingered Gecko,,,,UZ,,X,,,,,,,,,,,
,4,,"Alsophylax emilia Nazarov, Abduraupov et al, 2023",Геккончик Эмилии,Эмилия геккончаси,Emilia’s Even-fingered Gecko,,,,UZ,,,X,,,,,,,,,,
3,5,0033040251,"Alsophylax loricatus Strauch, 1887",Панцирный геккончик ,Қалқонли гекконча ,Strauch’s Even-fingered Gecko,VU,1(EN),,"UZ, TJ",,Х,,,,,,,,,,,
4,6,0033040261,"Alsophylax szczerbaki Golubev et Sattarov, 1979",Панцирный геккончик Щербака,Шчербак Қалқонли гекконча ,Szczerbak’s Even-fingered Gecko ,VU,1(EN),,"UZ, TM",,,,,,,,,,,,Х,Х
5,7,,"Alsophylax pipiens (Pallas, 1827)",Пискливый геккончик ,Чийилдоқ гекконча,Caspian Even-fingered Gecko,LC,,,,,,,,,,,,,,,,Х
6,8,,"Crossobamon eversmanni (Wiegmann, 1834)",Гребнепалый геккон Эверсманна ,Тароқ бармоқли геккон,Comb-toed Gecko,,,,"UZ, TJ, TM, KZ, IR, AF",,,,,,Х,,Х,Х,Х,Х,Х,Х
7,9,,"Tenuidactylus caspius (Eichwald,1831) ",Тонкопалый каспийский геккон ,Каспий геккони ,Caspian Bent-Toed Gecko,LC,,,,,,,,,,,Х,Х,Х,Х,Х,Х
,"9,1",,Tenuidactylus caspius caspius (EICHWALD 1831),Тонкопалый каспийский геккон ,Каспий геккони ,Caspian Bent-Toed Gecko,LC,,,,,,,,,,,Х,Х,Х,Х,Х,Х
8,10,0033042703,"Tenuidactylus fedtschenkoi (Strauch,1887)",Тонкопалый туркестанский геккон ,Туркестон геккони ,Turkestan Thin-Toed Gecko,LC,,,"UZ, TJ, TM, KZ, AF",,,,,,Х,Х,Х,,Х,Х,,
